Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,51380.000000,51400.000000,50780.000000,51020.000000,31700.921875,8474250
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,32073.728516,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,31738.205078,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,32384.400391,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,32322.263672,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,31315.691406,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,30346.394531,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,29973.589844,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,29948.732422,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,30159.992188,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,31067.154297,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,30831.041016,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,31005.017578,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,30644.640625,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,29973.589844,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,30545.224609,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,30657.066406,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,31228.701172,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,31551.798828,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,31825.193359,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,30942.882813,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,31005.017578,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,30955.312500,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,29638.062500,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,29774.759766,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,29464.087891,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,28457.511719,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,28581.779297,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,27774.033203,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,28407.804688,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,29538.646484,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,30445.810547,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,30060.576172,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,29451.660156,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,29377.097656,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,29054.001953,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,29339.820313,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,29439.232422,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,29439.232422,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,29240.404297,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,28594.207031,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,28084.707031,14100950
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,29215.550781,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,30209.701172,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,30570.078125,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,30905.601563,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,30905.601563,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,32098.582031,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,32160.716797,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,32024.019531,8882450
